# Format:
#   Field 0: Unicode code point value
#   Field 1: Assigned Mongolian Free Variation Selector (FVS)
#   Field 2: Cursive joining position
#   Field 3: Written units
#   Field 4: If the variant is contextually determined

# MONGOLIAN SIBE SYLLABLE BOUNDARY MARKER

1807 ;      ; medi ; A     ;

# MONGOLIAN LETTER A

1820 ;      ; medi ; A     ;
1820 ;      ; fina ; A     ;

1820 ; FVS1 ; isol ; A A   ; Contextual
1820 ; FVS1 ; init ; A A   ; Contextual

1820 ; FVS2 ; isol ; A     ; Contextual
1820 ; FVS2 ; init ; A     ; Contextual

1820 ; FVS3 ; isol ; Á     ; Contextual

# MONGOLIAN LETTER E

1821 ;      ; init ; A     ;
1821 ;      ; medi ; A     ;
1821 ;      ; fina ; A     ;

1821 ; FVS1 ; isol ; A     ; Contextual

1821 ; FVS2 ; isol ; Á     ; Contextual

# MONGOLIAN LETTER I

1822 ;      ; fina ; I     ;

1822 ; FVS1 ; isol ; A I   ; Contextual
1822 ; FVS1 ; init ; A I   ; Contextual
1822 ; FVS1 ; medi ; I     ; Contextual

1822 ; FVS2 ; isol ; I     ; Contextual
1822 ; FVS2 ; init ; I     ; Contextual
1822 ; FVS2 ; medi ; I I   ; Contextual

# MONGOLIAN LETTER O

1823 ;      ; isol ; A O   ;
1823 ;      ; init ; A U   ;
1823 ;      ; medi ; U     ;

1823 ; FVS1 ; fina ; U     ; Contextual

1823 ; FVS2 ; fina ; O     ; Contextual

# MONGOLIAN LETTER U

1824 ;      ; medi ; U     ;

1824 ; FVS1 ; isol ; A O   ; Contextual
1824 ; FVS1 ; init ; A U   ; Contextual
1824 ; FVS1 ; fina ; U     ; Contextual

1824 ; FVS2 ; isol ; U     ; Contextual
1824 ; FVS2 ; init ; U     ; Contextual
1824 ; FVS2 ; fina ; O     ; Contextual

# MONGOLIAN LETTER OE

1825 ;      ; isol ; A Ü   ;
1825 ;      ; init ; A U I ;

1825 ; FVS1 ; medi ; U     ; Contextual
1825 ; FVS1 ; fina ; U     ; Contextual

1825 ; FVS2 ; medi ; U I   ; Contextual
